State,Congressional District,Age: 35 -- 64,Farms by Size: 1 to 9 acres (Number),Farms by Size: 1 to 9 acres (Percent of Total),Land in Farms by Use (%): Cropland,Market Value of Agricultural Products Sold: Crops,Market Value of Agricultural Products Sold: Total,Other characteristics: New and beginning farmers,Per farm average ($): Market value of products sold,Per farm average ($): Net cash farm income,Per farm average ($): Percent of state agriculture sales,Per farm average ($): Total farm production expenses,Percent of farms that: Are family farms,Percent of farms that: Have internet access,Percent of farms that: Hire farm labor,Race: White,Sex: Female,Sex: Male,Share of Sales by Type (%): Crops,Total ($): Market value of products sold,Total ($): Net cash farm income,Total ($): Total farm production expenses,Total Producers,"Total and Per Farm Overview, 2022: Average size of farm (acres)","Total and Per Farm Overview, 2022: Land in farms (acres)","Total and Per Farm Overview, 2022: Number of farms",District_ID
01,01,2456,348,13,42.0,299196.0,358641.0,1670,137147.0,34496.0,4.0,113520.0,95,74,23,4126,1548,2914,83.0,358641000.0,90206000.0,296854000.0,4462,237.0,619219.0,2615,0101
01,02,6468,404,5,34.0,390478.0,2690231.0,4157,357221.0,124660.0,30.0,243212.0,96,73,22,11558,4399,8176,15.0,2690231000.0,938812000.0,1831629000.0,12575,287.0,2161826.0,7531,0102
01,03,4928,425,8,26.0,245062.0,1281867.0,3286,235421.0,75199.0,14.0,165675.0,97,78,21,8743,3206,6077,19.0,1281867000.0,409460000.0,902098000.0,9283,227.0,1236746.0,5445,0103
01,04,9238,670,7,36.0,293702.0,3044380.0,5356,295485.0,92954.0,34.0,206145.0,98,76,19,16583,6176,11178,10.0,3044380000.0,957710000.0,2123909000.0,17354,160.0,1645153.0,10303,0104
01,05,4639,432,9,55.0,307940.0,713748.0,2836,140612.0,38552.0,8.0,105980.0,96,78,20,7895,2829,5560,43.0,713748000.0,195690000.0,537956000.0,8389,184.0,936068.0,5076,0105
01,06,2032,176,8,27.0,54059.0,378756.0,1376,170919.0,56091.0,4.0,120404.0,98,80,17,3690,1417,2343,14.0,378756000.0,124297000.0,266815000.0,3760,150.0,331664.0,2216,0106
01,07,3337,206,5,25.0,155602.0,568275.0,1907,136081.0,29645.0,6.0,115211.0,95,69,26,5107,2203,4751,27.0,568275000.0,123799000.0,481123000.0,6954,407.0,1698425.0,4176,0107
02,01,1234,500,43,8.0,39693.0,90850.0,791,77451.0,10681.0,100.0,72247.0,93,89,25,1886,974,1071,44.0,90850000.0,12528000.0,84745000.0,2045,742.0,869852.0,1173,0200
04,01,341,185,55,27.0,173346.0,188954.0,194,562363.0,131362.0,4.0,458831.0,92,87,31,565,311,288,92.0,188954000.0,44138000.0,154167000.0,599,602.0,202438.0,336,0401
04,02,10093,7465,62,1.0,245644.0,1064629.0,3973,87884.0,8788.0,20.0,82970.0,96,59,10,3749,10422,10086,23.0,1064629000.0,106460000.0,1005100000.0,20508,1622.0,19647092.0,12114,0402
04,03,61,27,42,92.0,,58139.0,43,908416.0,337337.0,1.0,584295.0,83,95,50,117,50,87,,58139000.0,21590000.0,37395000.0,137,65.0,4148.0,64,0403
04,04,105,90,57,81.0,15071.0,15234.0,96,97030.0,4289.0,,109647.0,86,74,32,256,95,175,99.0,15234000.0,673000.0,17215000.0,270,47.0,7346.0,157,0404
04,05,450,258,70,71.0,97208.0,165007.0,266,448388.0,83015.0,3.0,381216.0,92,90,26,683,289,420,59.0,165007000.0,30550000.0,140287000.0,709,188.0,69220.0,368,0405
04,06,1732,414,24,17.0,394729.0,607841.0,1150,354014.0,68295.0,12.0,308077.0,90,86,29,3017,1325,1929,65.0,607841000.0,117262000.0,528968000.0,3254,922.0,1582857.0,1717,0406
04,07,705,198,27,6.0,946564.0,1328147.0,432,1792371.0,603386.0,26.0,1214965.0,88,81,34,1316,577,825,71.0,1328147000.0,447109000.0,900289000.0,1402,4284.0,3174275.0,741,0407
04,08,190,148,84,11.0,,25308.0,99,143796.0,42534.0,,103870.0,95,88,24,293,141,173,,25308000.0,7486000.0,18281000.0,314,46.0,8043.0,176,0408
